"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"JAK1"	"KRAS"	"208"	"0.727704117596102"	"Sig-sig"
"JAK1"	"MRAS"	"209"	"0.727940759942107"	"Sig-non"
"JAK1"	"NRAS"	"210"	"0.728113284906259"	"Sig-sig"
"JAK1"	"RRAS"	"211"	"0.728303509348306"	"Sig-sig"
"JAK1"	"RRAS2"	"212"	"0.72852324734735"	"Sig-sig"
"JAK1"	"RAF1"	"213"	"0.728851942052783"	"Sig-non"
"JAK1"	"MAP2K1"	"214"	"0.729687711525172"	"Sig-non"
"JAK1"	"MAP2K2"	"215"	"0.729715319074958"	"Sig-sig"
"JAK1"	"MAPK1"	"216"	"0.730184608229193"	"Sig-sig"
"JAK1"	"MAPK3"	"217"	"0.730305398864579"	"Sig-sig"
"JAK1"	"FOS"	"218"	"0.73035084149843"	"Sig-sig"
"JAK1"	"JUN"	"219"	"0.730464326219532"	"Sig-sig"
"JAK1"	"PTPN11"	"220"	"0.730550438793829"	"Sig-non"
"JAK1"	"PIK3C2A"	"221"	"0.731242450293777"	"Sig-sig"
"JAK1"	"PIK3C2B"	"222"	"0.731702975409825"	"Sig-sig"
"JAK1"	"PIK3C2G"	"223"	"0.731726496380107"	"Sig-non"
"JAK1"	"PIK3C3"	"224"	"0.732456870769373"	"Sig-non"
"JAK1"	"PIK3CA"	"225"	"0.733498314696209"	"Sig-non"
"JAK1"	"PIK3CB"	"226"	"0.734027390439614"	"Sig-non"
"JAK1"	"PIK3CD"	"227"	"0.734362780463538"	"Sig-sig"
"JAK1"	"PIK3CG"	"228"	"0.73438545575455"	"Sig-sig"
"JAK1"	"PIK3R1"	"229"	"0.734780196390127"	"Sig-sig"
"JAK1"	"PIK3R2"	"230"	"0.735086105831317"	"Sig-sig"
"JAK1"	"PIK3R3"	"231"	"0.73512874043037"	"Sig-non"
"JAK1"	"PIK3R5"	"232"	"0.735204479547577"	"Sig-non"
"SHC1"	"GRB2"	"233"	"0.735401168847876"	"Sig-non"
"SHC1"	"SOS1"	"234"	"0.73555514891124"	"Sig-sig"
"SHC1"	"SOS2"	"235"	"0.736072540024196"	"Sig-sig"
"SHC1"	"HRAS"	"236"	"0.736365719075215"	"Sig-non"
"SHC1"	"KRAS"	"237"	"0.736398560870685"	"Sig-sig"
"SHC1"	"MRAS"	"238"	"0.736525776635602"	"Sig-non"
"SHC1"	"NRAS"	"239"	"0.736563857913224"	"Sig-sig"
"SHC1"	"RRAS"	"240"	"0.736772162307104"	"Sig-sig"
"SHC1"	"RRAS2"	"241"	"0.736958002106736"	"Sig-sig"
"SHC1"	"RAF1"	"242"	"0.737108240161534"	"Sig-non"
"SHC1"	"MAP2K1"	"243"	"0.73734221390788"	"Sig-non"
"SHC1"	"MAP2K2"	"244"	"0.737433241868316"	"Sig-sig"
"SHC1"	"MAPK1"	"245"	"0.737600849262852"	"Sig-sig"
"SHC1"	"MAPK3"	"246"	"0.737941276950293"	"Sig-sig"
"SHC1"	"FOS"	"247"	"0.738274720747629"	"Sig-sig"
"SHC1"	"JUN"	"248"	"0.738409403840761"	"Sig-sig"
"SHC1"	"PTPN11"	"249"	"0.738590396313577"	"Sig-non"
"SHC1"	"PIK3C2A"	"250"	"0.73890032126445"	"Sig-sig"
"SHC1"	"PIK3C2B"	"251"	"0.73902561635288"	"Sig-sig"
"SHC1"	"PIK3C2G"	"252"	"0.739177106719558"	"Sig-non"
"SHC1"	"PIK3C3"	"253"	"0.739213439172689"	"Sig-non"
"SHC1"	"PIK3CA"	"254"	"0.739304154681096"	"Sig-non"
"SHC1"	"PIK3CB"	"255"	"0.740354366416408"	"Sig-non"
"SHC1"	"PIK3CD"	"256"	"0.740721761989011"	"Sig-sig"
"SHC1"	"PIK3CG"	"257"	"0.74131540399362"	"Sig-sig"
"SHC1"	"PIK3R1"	"258"	"0.742685339240025"	"Sig-sig"
"SHC1"	"PIK3R2"	"259"	"0.742972326198029"	"Sig-sig"
"SHC1"	"PIK3R3"	"260"	"0.743231509818872"	"Sig-non"
"SHC1"	"PIK3R5"	"261"	"0.743308759159364"	"Sig-non"
"GRB2"	"SOS1"	"262"	"0.743655681741301"	"Sig-non"
"GRB2"	"SOS2"	"263"	"0.744215560699364"	"Sig-non"
"GRB2"	"HRAS"	"264"	"0.74424299148511"	"Non-non"
"GRB2"	"KRAS"	"265"	"0.744440320623175"	"Sig-non"
"GRB2"	"MRAS"	"266"	"0.744548818939893"	"Non-non"
"GRB2"	"NRAS"	"267"	"0.744557746311464"	"Sig-non"
"GRB2"	"RRAS"	"268"	"0.745033915552049"	"Sig-non"
"GRB2"	"RRAS2"	"269"	"0.745344691337471"	"Sig-non"
"GRB2"	"RAF1"	"270"	"0.745461040379932"	"Non-non"
"GRB2"	"MAP2K1"	"271"	"0.745725735042764"	"Non-non"
"GRB2"	"MAP2K2"	"272"	"0.745752659853744"	"Sig-non"
"GRB2"	"MAPK1"	"273"	"0.745840777140178"	"Sig-non"
"GRB2"	"MAPK3"	"274"	"0.746134419115435"	"Sig-non"
"GRB2"	"FOS"	"275"	"0.746270679234627"	"Sig-non"
"GRB2"	"JUN"	"276"	"0.746374838914384"	"Sig-non"
"GRB2"	"PTPN11"	"277"	"0.746388958806905"	"Non-non"
"GRB2"	"PIK3C2A"	"278"	"0.746501193247381"	"Sig-non"
"GRB2"	"PIK3C2B"	"279"	"0.746678991772867"	"Sig-non"
"GRB2"	"PIK3C2G"	"280"	"0.746854544383123"	"Non-non"
"GRB2"	"PIK3C3"	"281"	"0.746904671967207"	"Non-non"
"GRB2"	"PIK3CA"	"282"	"0.747633242549068"	"Non-non"
"GRB2"	"PIK3CB"	"283"	"0.748152405552252"	"Non-non"
"GRB2"	"PIK3CD"	"284"	"0.748335955698714"	"Sig-non"
"GRB2"	"PIK3CG"	"285"	"0.74834173410651"	"Sig-non"
"GRB2"	"PIK3R1"	"286"	"0.748567302912518"	"Sig-non"
"GRB2"	"PIK3R2"	"287"	"0.748790589144345"	"Sig-non"
"GRB2"	"PIK3R3"	"288"	"0.748819536289635"	"Non-non"
"GRB2"	"PIK3R5"	"289"	"0.749034230461967"	"Non-non"
"SOS1"	"SOS2"	"290"	"0.749137899408241"	"Sig-sig"
"SOS1"	"HRAS"	"291"	"0.749167823272387"	"Sig-non"
"SOS1"	"KRAS"	"292"	"0.749309186013369"	"Sig-sig"
"SOS1"	"MRAS"	"293"	"0.749364106061852"	"Sig-non"
"SOS1"	"NRAS"	"294"	"0.749834615299927"	"Sig-sig"
"SOS1"	"RRAS"	"295"	"0.749970436772502"	"Sig-sig"
"SOS1"	"RRAS2"	"296"	"0.750148433536517"	"Sig-sig"
"SOS1"	"RAF1"	"297"	"0.750484030288954"	"Sig-non"
"SOS1"	"MAP2K1"	"298"	"0.751475897778588"	"Sig-non"
"SOS1"	"MAP2K2"	"299"	"0.752242104498421"	"Sig-sig"
"SOS1"	"MAPK1"	"300"	"0.752315551785492"	"Sig-sig"
"SOS1"	"MAPK3"	"301"	"0.752316377233139"	"Sig-sig"
"SOS1"	"FOS"	"302"	"0.752357841458502"	"Sig-sig"
"SOS1"	"JUN"	"303"	"0.75265910017741"	"Sig-sig"
"SOS1"	"PTPN11"	"304"	"0.753244443819788"	"Sig-non"
"SOS1"	"PIK3C2A"	"305"	"0.753332373031189"	"Sig-sig"
"SOS1"	"PIK3C2B"	"306"	"0.753409084552809"	"Sig-sig"
"SOS1"	"PIK3C2G"	"307"	"0.753536116045009"	"Sig-non"
"SOS1"	"PIK3C3"	"308"	"0.753968105950653"	"Sig-non"
"SOS1"	"PIK3CA"	"309"	"0.754219889527235"	"Sig-non"
"SOS1"	"PIK3CB"	"310"	"0.754651196438233"	"Sig-non"
"SOS1"	"PIK3CD"	"311"	"0.754738720699192"	"Sig-sig"
"SOS1"	"PIK3CG"	"312"	"0.755466898875051"	"Sig-sig"
"SOS1"	"PIK3R1"	"313"	"0.755982075415326"	"Sig-sig"
"SOS1"	"PIK3R2"	"314"	"0.756183974383036"	"Sig-sig"
"SOS1"	"PIK3R3"	"315"	"0.756207429960538"	"Sig-non"
"SOS1"	"PIK3R5"	"316"	"0.756253511514998"	"Sig-non"
"SOS2"	"HRAS"	"317"	"0.756461080628729"	"Sig-non"
"SOS2"	"KRAS"	"318"	"0.756464997638777"	"Sig-sig"
"SOS2"	"MRAS"	"319"	"0.756607431297526"	"Sig-non"
"SOS2"	"NRAS"	"320"	"0.757180785904136"	"Sig-sig"
"SOS2"	"RRAS"	"321"	"0.757422795001079"	"Sig-sig"
"SOS2"	"RRAS2"	"322"	"0.75763300737184"	"Sig-sig"
"SOS2"	"RAF1"	"323"	"0.75772435596874"	"Sig-non"
"SOS2"	"MAP2K1"	"324"	"0.757858305405997"	"Sig-non"
"SOS2"	"MAP2K2"	"325"	"0.757876739697484"	"Sig-sig"
"SOS2"	"MAPK1"	"326"	"0.758051917430463"	"Sig-sig"
